"112年10月13日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ",="061630","長榮航法興34購01","179,000","107,000","72,000","0","0","0","179,000","107,000","72,000",
" ","5222  ","全訊            ","128,025","57,000","71,025","0","0","0","128,025","57,000","71,025",
" ",="00692 ","富邦公司治理    ","120,000","49,000","71,000","0","0","0","120,000","49,000","71,000",
" ","9933  ","中鼎            ","398,617","328,000","70,617","0","0","0","398,617","328,000","70,617",
" ",="056322","皇昌元富45購02  ","70,000","0","70,000","0","0","0","70,000","0","70,000",
" ","1449  ","佳和            ","99,000","29,000","70,000","0","0","0","99,000","29,000","70,000",
" ","2460  ","建通            ","184,000","115,000","69,000","0","0","0","184,000","115,000","69,000",
" ","2701  ","萬企            ","82,000","16,000","66,000","0","0","0","82,000","16,000","66,000",
" ","9946  ","三發地產        ","122,000","56,000","66,000","0","0","0","122,000","56,000","66,000",
" ",="00876 ","元大全球5G      ","65,000","0","65,000","0","0","0","65,000","0","65,000",
" ","1590  ","亞德客-KY       ","716,869","652,502","64,367","0","0","0","716,869","652,502","64,367",
" ","5608  ","四維航          ","356,677","294,000","62,677","0","0","0","356,677","294,000","62,677",
" ",="00733 ","富邦臺灣中小    ","81,000","19,000","62,000","0","0","0","81,000","19,000","62,000",
" ",="061631","富邦金法興34購01","62,000","0","62,000","0","0","0","62,000","0","62,000",
" ","2706  ","第一店          ","97,000","35,000","62,000","0","0","0","97,000","35,000","62,000",
" ","5534  ","長虹            ","74,000","13,000","61,000","0","0","0","74,000","13,000","61,000",
" ","5434  ","崇越            ","132,000","72,000","60,000","0","0","0","132,000","72,000","60,000",
" ",="050063","鼎基元大43購01  ","76,000","18,000","58,000","0","0","0","76,000","18,000","58,000",
" ","1532  ","勤美            ","149,000","91,000","58,000","0","0","0","149,000","91,000","58,000",
" ","6426  ","統新            ","81,000","23,000","58,000","0","0","0","81,000","23,000","58,000",
" ","9925  ","新保            ","70,000","12,000","58,000","0","0","0","70,000","12,000","58,000",
" ","9942  ","茂順            ","102,000","44,000","58,000","0","0","0","102,000","44,000","58,000",
" ","6789  ","采鈺            ","99,000","42,000","57,000","0","0","0","99,000","42,000","57,000",
" ","8039  ","台虹            ","82,000","25,207","56,793","0","0","0","82,000","25,207","56,793",
" ","3617  ","碩天            ","669,020","613,000","56,020","0","0","0","669,020","613,000","56,020",
" ","2423  ","固緯            ","97,000","41,000","56,000","0","0","0","97,000","41,000","56,000",
